"","julian","low_soil_mean","low_soil_max","low_soil_min","high_soil_mean","high_soil_max","high_soil_min","low_air_mean","low_air_max","low_air_min","high_air_mean","high_air_max","high_air_min"
"1",1,0.465373125,2.6579,-0.6895,-9.27165833333333,-6.6072,-14.113,-4.65981597222222,7.399,-14.44,-19.0625,-9,-35
"2",2,0.273575260416667,1.4144,-0.9409,-9.05313602430556,-5.8708,-14.117,-1.07043663194444,12.86,-11.27,-16.8125,-9,-29
"3",3,0.322531016507385,3.1634,-1.3346,-8.33778142361111,-5.3543,-11.946,-0.81738922675934,13.24,-15.61,-15.375,-7,-26
"4",4,0.228905555555556,1.9281,-1.2177,-8.14054487847222,-4.6682,-11.031,-3.09028385416667,16.05,-17.99,-13.1875,-5,-24
"5",5,0.352063541666667,3.2712,-1.3127,-7.65240789930556,-3.9623,-11.241,-0.981005208333333,17.77,-19.6,-12.8125,-5,-19
"6",6,0.454323350694444,3.6821,-1.9166,-7.19745407986111,-4.2112,-10.585,-0.991262152777778,12.55,-20.02,-13.25,-6,-23
"7",7,0.528418245004344,3.3988,-0.9702,-7.41765460069444,-5.154,-10.878,-2.41233101650738,11.81,-19.58,-14.5,-6,-23
"8",8,0.501502690972222,2.4424,-0.393,-7.32906597222222,-5.0687,-11.592,0.101245659722222,13.05,-18.88,-11.75,-1,-24
"9",9,0.494437326388889,1.7191,-0.6954,-6.81251866319444,-4.4269,-10.761,-0.352402777777778,11.85,-13.41,-12.5714285714286,-4,-28
"10",10,0.61216090356212,3.2203,-0.1732,-6.75329991319444,-4.5139,-10.189,0.381602085143354,14.92,-19.39,-14.4375,-1,-30
"11",11,0.525544184027778,2.5785,-1.504,-7.69913975694444,-4.9663,-12.01,-1.18333246527778,11.55,-17.02,-16.4375,1,-33
"12",12,0.283380121527778,2.2503,-3.486,-8.19457005208333,-5.462,-12.01,-2.27929427083333,13.65,-19.31,-16.6428571428571,0,-34
"13",13,0.1467484375,2.8754,-4.0397,-8.03585399305556,-5.272,-11.63,-0.144641493055556,12.69,-19.53,-16.0714285714286,-4,-34
"14",14,0.0641258680555556,1.4721,-4.1045,-7.95666666666667,-5.334,-12.12,-0.725698784722222,11.6,-21.01,-16.25,-5,-33
"15",15,-0.104846267361111,2.0849,-5.3475,-8.03253020833333,-5.588,-12.64,1.52458333333333,11.24,-18.8,-15.5833333333333,-7,-28
"16",16,0.0866072916666667,1.4078,-3.2274,-7.70545364583333,-5.142,-10.816,2.24948784722222,13.99,-9.25,-15.0714285714286,-1,-31
"17",17,0.556239409722222,5.5534,-2.0893,-7.21210390625,-5.142,-10.747,2.03497569444444,10.89,-13.77,-13.3125,-4,-31
"18",18,0.756462065972222,4.2621,-1.6535,-7.27403145091225,-5.2558,-9.927,5.34241927083333,13.45,-2.428,-11.6941789748045,0,-23
"19",19,1.00137864583333,5.2942,-0.4536,-6.96501545138889,-4.745,-8.788,4.5634296875,14.98,-10.39,-11.7142857142857,-2,-22
"20",20,1.29274644097222,4.9436,-0.3271,-7.06268463541667,-4.3638,-9.6914,0.9908046875,9.73,-13.57,-14.2142857142857,-2,-23
"21",21,0.989809635416667,3.791,-0.8232,-7.51791189236111,-4.672,-10.128,1.42979427083333,15.3,-9.78,-15.0714285714286,-3,-29
"22",22,0.87120625,3.557,-0.2234,-7.45284878472222,-5.5267,-9.8008,1.88612239583333,15.57,-12.02,-16.1428571428571,-3,-25
"23",23,0.726142100694444,2.6213,-0.1202,-7.75900842013889,-5.75,-10.75,2.09428559027778,17.19,-15.02,-14.5,-4,-20
"24",24,0.731267708333333,3.4253,-0.1068,-7.84118315972222,-5.55,-10.823,1.8196640625,16.9,-9.62,-16.5,-11,-24
"25",25,0.88968203125,5.1242,-0.3975,-8.04794800347222,-5.55,-10.823,1.63632204861111,15.08,-11.75,-15,-4,-27
"26",26,1.29354079861111,6.9689,-0.2204,-8.00772083333333,-4.397,-11.424,1.79536024305556,18.67,-13.26,-14.375,2,-26
"27",27,1.55798984375,7.8147,-0.7695,-7.72782907986111,-3.957,-11.997,1.27080729166667,18.9,-14.04,-13.7857142857143,-2,-26
"28",28,1.56105815972222,6.8853,-0.4146,-7.48220416666667,-4.33,-10.741,1.98218315972222,17.58,-16.6,-13.6428571428571,-2,-29
"29",29,1.45473229166667,5.9207,-0.1674,-7.34869800347222,-4.585,-9.523,3.08300694444444,12.77,-12.19,-13.5,-4,-30
"30",30,1.45295017361111,4.6479,-0.1094,-7.23860295138889,-4.394,-8.77,2.72664409722222,14.36,-12.88,-14.3333333333333,-4,-30
"31",31,1.42294123263889,3.8088,0.2584,-7.17520572916667,-4.64,-8.58,-1.849984375,12.87,-20.79,-17,-6,-28
"32",32,1.10300373263889,3.4118,0.1222,-7.50025442708333,-4.919,-9.9646,-5.79134635416667,7.818,-27.17,-15.75,-8,-29
"33",33,1.0090751520417,3.5716,-0.4287,-7.85656987847222,-6.154,-11.57,-5.24310251954822,11.57,-29.48,-16.3076923076923,-6,-31
"34",34,0.985844270833333,5.631,-0.8174,-7.59795824652778,-5.984,-11.79,-2.33095833333333,11.52,-16.98,-19.28125,-7,-40
"35",35,1.1985398163606,6.502,-0.4356,-7.64584661458333,-5.662,-10.809,-1.32044407345576,14.51,-22.7,-16.6666666666667,-9,-27
"36",36,1.41215802469136,6.548,-0.2887,-7.60875737847222,-5.407,-11.087,0.290836419753086,16.97,-26.56,-16.5,-8,-27
"37",37,1.66213811728395,6.387,-0.1431,-7.28105060763889,-5.158,-10.747,0.639389660493827,18.58,-25.33,-15.4210526315789,-8,-24
"38",38,1.97143047839506,6.9749,-0.0417,-7.25035121527778,-4.584,-9.6947,0.721075617283951,18.69,-19.06,-15.25,-7,-24
"39",39,1.98524583333333,7.4891,0.0447,-7.12510520833333,-4.394,-9.32,-0.512637345679012,14.98,-22.85,-15.3947368421053,-8,-29
"40",40,1.94215081081081,7.8237,0.0163,-7.12621319444444,-3.698,-10.739,-0.090345945945946,18.45,-22.96,-14.3333333333333,-1,-29
"41",41,2.13690640432099,8.521,-0.0469,-7.33737821180556,-3.385,-12.22,1.41548148148148,19.6,-14.7,-14.5714285714286,0,-26
"42",42,2.18875200617284,8.3685,-0.0826,-7.2621265625,-3.448,-11.8,-0.321302469135803,15.39,-15.63,-13.6875,0,-27
"43",43,1.98075563271605,7.4154,-0.0909,-7.30869626736111,-3.846,-10.829,1.11288657407407,14.35,-13.78,-12.5625,0,-28
"44",44,2.00983665123457,8.8596,0.0051,-6.83108038194444,-4.013,-9.8049,4.06458101851852,16.14,-6.224,-13.1875,0,-25
"45",45,1.8239587191358,7.3909,-0.0149,-6.98547057291667,-3.763,-9.6505,0.981979166666667,18.6,-12.94,-13,0,-23
"46",46,1.97235432098765,7.5262,-0.0147,-7.23709322916667,-3.886,-10.824,1.14538271604938,16.73,-13.11,-14.8125,-1,-24
"47",47,2.55394845679012,9.104,-0.0047,-7.21929878472222,-4.495,-10.622,3.52296759259259,17.99,-10.27,-14.375,3,-27
"48",48,2.97621004149378,8.9904,0.0399,-7.11201744791667,-4.132,-9.8689,4.12737676348548,15.84,-10.44,-14.5625,1,-28
"49",49,3.3593180712424,8.3085,0.0831,-6.96504973958333,-3.57,-9.38,3.42748827106864,19.08,-8.95,-14.1590909090909,-2,-26
"50",50,3.28663480902778,8.2267,0.1237,-6.68914088541667,-3.316,-9.93,2.99783940972222,15.01,-9.22,-13.5625,-2,-27
"51",51,3.28969713292789,9.4006,0.1791,-6.55777673611111,-3.404,-9.2371,0.621228496959166,14.39,-9.99,-16.25,-5,-26
"52",52,3.25566762152778,10.5798,0.2212,-7.00837647569444,-4.014,-9.6917,-1.92179947916667,16.63,-12.39,-16.4375,-4,-29
"53",53,2.81473708769107,9.915,0.2587,-7.14772491319444,-4.14,-10.443,-1.2071592920354,13.48,-15.75,-17.5,-5,-27
"54",54,2.52759667953668,7.7849,0.3023,-7.22439939236111,-4.418,-10.005,-2.23823861003861,14.51,-16.47,-17.1875,-8,-27
"55",55,2.64485401234568,10.17,0.311,-7.79978819444444,-5.253,-10.049,-0.567274691358025,17.1,-12.17,-18.125,-4,-30
"56",56,2.33214652777778,10.07,0.3249,-8.10311085069444,-5.71,-10.252,-1.95807793209877,14.48,-14.49,-18.6590909090909,-10,-28
"57",57,2.41064891975309,9.51,0.3388,-8.10919175347222,-4.581,-11.108,-1.30210416666667,13.19,-15.21,-18,-7,-27
"58",58,2.28193078703704,7.486,0.2453,-7.89900819529207,-4.458,-10.961,-0.303685956790123,16.3,-18.07,-15.7358665430955,-3,-27
"59",59,2.53919205246914,7.7946,0.3361,-7.50815373263889,-4.577,-10.68,-0.0312962962962963,13.67,-15.48,-16.25,-6,-26
"60",60,2.46918864864865,7.6968,0.3285,-7.493234375,-5.278,-10.284,0.377033976833977,17.64,-16.55,-14.875,-3,-23
"61",61,2.69815590733591,10.12,0.3243,-7.26624001736111,-5.3576,-10.879,2.39606177606178,19.84,-18.43,-14.375,-4,-27
"62",62,3.44430987654321,11.62,0.3238,-6.86442170138889,-4.9429,-10.129,4.89739197530864,18.75,-12.63,-15.3125,-5,-29
"63",63,3.79576520061728,12.71,0.1986,-6.92636727430556,-4.0229,-10.734,3.00804861111111,20.02,-14.73,-15.25,-3,-29
"64",64,3.97925385802469,11.43,0.3997,-7.11885026041667,-4.4656,-10.136,3.54806172839506,15.2,-11.79,-12.8571428571429,-4,-21
"65",65,4.30477276234568,10.82,0.8445,-6.76179435763889,-3.896,-9.874,5.25375540123457,16.78,-6.606,-10.625,-2,-23
"66",66,4.53745532407407,9.4355,1.148,-6.15542855902778,-2.8291,-11.255,3.59414660493827,19.18,-8.44,-11.0625,0,-23
"67",67,3.96745686728395,10.29,1.1225,-5.55193133680556,-2.8293,-10.408,2.46105401234568,14.45,-8.9,-13,-5,-20
"68",68,4.22340788863109,9.72,1.0423,-5.64287751736111,-3.434,-8.9242,3.72634880123743,19.48,-8.41,-12.75,-3,-25
"69",69,4.50836957528958,9.6427,0.8917,-5.23738550347222,-2.0923,-8.4684,4.09697374517375,19.03,-11.54,-10.1363636363636,-1,-21
"70",70,4.71102669753086,10.7284,0.8134,-4.92294947916667,-2.308,-6.89,4.32020601851852,16.86,-12.05,-11.4285714285714,-1,-23
"71",71,5.23531087962963,11.1504,1.5034,-4.76844861111111,-1.805,-7.2799,4.4041149691358,17.45,-9.05,-11,0,-22
"72",72,6.23585293209877,11.336,1.2973,-4.52736163194444,-1.805,-7.529,6.25228703703704,17.08,-4.723,-9.85714285714286,0,-16
"73",73,6.73072955246914,12.494,2.4864,-4.22870572916667,-1.927,-6.8968,8.37433564814815,19.43,-2.551,-8.64285714285714,0,-16
"74",74,7.29757677469136,12.9246,2.4883,-3.88159418402778,-1.321,-6.297,9.30211805555555,22.17,-4.548,-8.3125,5,-26
"75",75,7.95670516975309,14.1485,1.9465,-3.61411892361111,-0.935,-7.076,9.74604475308642,23.5,-4.614,-8.0625,2,-25
"76",76,8.53341666666667,13.6587,3.6872,-3.4509046875,-0.694,-6.12,8.16722685185185,20.68,-3.098,-8.75,3,-25
"77",77,8.11537203319502,14.374,3.346,-3.53607586805556,-0.617,-6.63,5.77853195020747,23.21,-4.766,-11,4,-27
"78",78,7.94290852428964,14.516,2.1558,-3.57609608506944,-0.55,-7.395,5.08904491292392,21.03,-9.55,-13.8571428571429,2,-29
"79",79,7.64159555016181,14.3931,2.5532,-3.85600644965278,-0.545,-7.8,5.05799919093851,20.45,-13.94,-12.6428571428571,2,-29
"80",80,7.64804915123457,13.568,2.0041,-3.95497465277778,-0.462,-7.595,6.2863549382716,20.35,-9.26,-10.4285714285714,4,-29
"81",81,7.75921304012346,15.65,1.9116,-3.66319609375,-0.435,-7.54,6.99857947530864,21.71,-6.888,-9.97727272727273,3,-24
"82",82,8.08359853395062,14.9223,2.1744,-3.37076467013889,-0.444,-6.362,5.08167901234568,19.33,-12.46,-11.75,1,-25
"83",83,7.25113451737452,15.6683,1.7704,-3.27254436631944,-0.466,-6.61,1.68196833976834,21.62,-14.96,-13.5,4,-26
"84",84,6.63110509259259,16.2564,1.4728,-3.60857212673611,-0.44674,-7.85,2.75128472222222,19.34,-15.48,-12.25,2,-26
"85",85,6.32666651234568,14.7314,1.245,-3.555553359375,-0.30978,-8.35,3.64633024691358,18.85,-11.66,-11.75,4,-25
"86",86,6.83597546296296,15.4298,1.204,-3.49269243055556,-0.24018,-6.83,3.74838040123457,23.21,-12.42,-11.5,0,-25
"87",87,6.99153526234568,16.2507,0.8822,-3.54348118055556,-0.23612,-6.38,5.96384104938272,21.64,-4.844,-11.7857142857143,-3,-22
"88",88,7.44590787037037,16.6723,1.2714,-3.29485852430556,-0.20112,-6.433,8.2768850308642,20.66,-4.034,-8.78571428571429,0,-20
"89",89,8.10270131274131,17.3226,1.6457,-2.759774609375,-0.19617,-6.4715,8.82128725868726,23.51,-4.83,-7.42857142857143,5,-19
"90",90,8.53819852140078,18.1866,1.3588,-2.49776787326389,-0.20437,-6.1241,7.17098287937743,22.57,-5.871,-8.71428571428571,1,-21
"91",91,8.33409382716049,19.0051,1.4853,-2.52205993055556,0.05986,-5.281,5.4859537037037,24.27,-9.07,-7.91666666666667,4,-22
"92",92,7.89144645061728,19.7713,1.1854,-2.54307876736111,1.3913,-5.783,4.93388657407407,23.94,-9.13,-9,5,-23
"93",93,7.50697160493827,16.2967,1.3404,-2.59078052083333,0.48719,-6.3084,3.7386674382716,17.05,-4.922,-11.1666666666667,-3,-20
"94",94,6.89636990740741,13.4811,2.569,-2.72378618055556,-0.16322,-5.6745,3.36639583333333,18.07,-7.948,-10.8333333333333,-2,-20
"95",95,7.38898680555556,14.1893,2.073,-2.49939470486111,-0.14738,-5.6709,6.94834722222222,19.72,-10.34,-8.66666666666667,0,-18
"96",96,7.86159050925926,14.9612,1.831,-2.08674509548611,-0.15368,-5.9472,6.80092669753086,18.82,-8.85,-10.0833333333333,-2,-19
"97",97,8.65530950540958,14.8851,2.236,-2.47206842881944,-0.18437,-6.6338,8.32681452859351,20.98,-3.177,-11.2857142857143,-1,-22
"98",98,9.67931820987654,15.1908,3.6778,-2.27120237847222,-0.27064,-6.7029,8.94087885802469,20.02,-5.141,-9.63157894736842,3,-22
"99",99,9.72193202160494,16.2217,5.2868,-1.77944292534722,-0.332,-5.2316,6.3826512345679,20.74,-13.85,-9.7,2,-22
"100",100,9.77808063271605,16.5238,3.974,-1.74372642361111,-0.405,-4.35,5.10029398148148,19.18,-17.06,-8.41666666666667,2,-22
"101",101,10.1962491512346,17.5559,3.3885,-1.94076216145833,-0.415,-5.41,9.0440625,21.74,-9.26,-4,7,-14
"102",102,10.6455320216049,18.3062,4.443,-1.42726641493056,-0.30204,-4.97,8.95191589506173,21,-1.118,-3.6,6,-12
"103",103,10.4129537451737,17.3184,4.029,-1.26124782986111,-0.26622,-5.29,7.06545200984413,20.9,-8.92,-9.4,0,-27
"104",104,10.1334186728395,17.0348,4.2671,-1.14770483478261,-0.215,-4.51,7.40861892361111,20.96,-11.46,-11.1,4,-26
"105",105,10.0842351851852,16.9229,3.6619,-1.6894265625,-0.134,-4.58,7.13076822916667,20.8,-7.514,-9.1,4,-19
"106",106,9.16397353395062,17.3006,3.2635,-1.69591623263889,-0.121,-4.6484,4.46846875,16.94,-7.621,-10.6,0,-18
"107",107,8.21467399691358,16.9212,2.7344,-1.54616598090278,0.14,-4.27,4.76562673611111,21.53,-10.31,-10,-1,-18
"108",108,8.22889899691358,17.6841,2.272,-1.34858029513889,1.102,-4.65,6.84589409722222,22.34,-13.48,-7.75,1,-20
"109",109,8.363375,17.9132,1.767,-1.45498262152778,0.312,-6.49,7.3311328125,19.18,-4.913,-7.25,4,-18
"110",110,8.27267891891892,15.2974,1.422,-1.34599471354167,-0.125,-5.8,6.07408427454387,19.2,-2.562,-8,4,-19
"111",111,9.20075486111111,18.0149,1.424,-1.148483359375,0.28384,-5.03,7.65882204861111,18.36,0.146,-6.6,4,-15
"112",112,10.0827553240741,19.8679,2.5383,-1.03190419270833,0.03889,-3.45,7.94825434027778,21.04,-7.615,-6.7,0,-13
"113",113,10.235586882716,20.5109,-1.8239,-1.12741559027778,-0.125,-3.7723,7.13853385416667,21.42,-8.82,-6.6875,4,-17
"114",114,10.5201117283951,21.7273,2.1383,-1.08268545138889,0.39995,-3.82,8.72473003472222,24.41,-7.28,-6.75,7,-18
"115",115,10.5545259259259,21.1458,1.5082,-1.004132578125,1.2039,-3.96,9.28556336805556,26.95,-2.363,-5.8,5,-15
"116",116,10.8836355984556,18.8822,4.3177,-0.959205894097222,1.8896,-4.16,8.20505994787142,23.43,-3.536,-5.91666666666667,4,-15
"117",117,10.8643733796296,20.5791,5.972,-0.960002612847222,2.6844,-4.2077,7.51416840277778,22.78,-1.612,-7.3,3,-17
"118",118,11.3481874806801,20.5201,6.372,-1.08748160590278,1.3975,-5.2295,8.42648434782609,22.53,-4.015,-7.91666666666667,3,-20
"119",119,11.3761915123457,20.1364,5.7596,-1.001936640625,-0.06668,-3.5224,6.08299565972222,23,-5.307,-9.5,3,-19
"120",120,10.5775949074074,19.3029,4.8697,-1.08785611111111,-0.05706,-4.6473,5.24089236111111,21.98,-5.786,-9.75,3,-19
"121",121,10.056856095679,20.7219,3.9278,-1.19980923611111,0.16986,-5.5455,5.38051649305556,22.3,-7.206,-9.83333333333333,2,-20
"122",122,10.1873920524691,21.2555,3.4263,-1.07518640625,0.54366,-4.7791,7.23479513888889,21.84,-9.04,-8.08333333333333,0,-18
"123",123,10.8782193050193,19.4915,3.2979,-1.11143857638889,1.5382,-5.8018,9.92823631624674,24.78,-4.334,-4.375,5,-13
"124",124,12.4144778549383,22.023,4.3334,-0.7015015625,4.1511,-3.7081,11.7307109375,25.65,1.055,-3.25,5,-12
"125",125,13.4119762162162,24.0377,6.2058,-0.484957317708333,5.9721,-4.8464,12.0216880973067,27.25,-0.781,-2.1,5,-12
"126",126,14.2512243055556,22.3717,6.7699,-0.0323790017361111,4.7819,-2.7965,13.4388203125,25.74,-1.905,-3.9,4,-15
"127",127,14.3807104166667,20.58,7.8993,0.137345737847222,3.6591,-1.7078,10.5718758680556,25.26,-4.313,-6.1,7,-16
"128",128,13.0070824074074,21.8191,8.2118,-0.0395241753472222,1.561,-1.083,7.6373671875,26.64,-2.954,-6.1,6,-15
"129",129,12.7067524839744,21.2638,7.12,-0.0634040277777778,2.185,-0.85223,8.32821920289855,24.66,-3.395,-5.35714285714286,7,-13
"130",130,12.6603958333333,21.373,6.6298,-0.116704505208333,1.321,-0.71266,9.27377604166667,22.21,-3.809,-6.91666666666667,-1,-13
"131",131,12.3545945945946,23.0459,5.8207,-0.066674296875,3.748,-1.119,7.18553518679409,25.86,-1.745,-6.85714285714286,6,-17
"132",132,11.7983395833333,20.65,5.0407,0.166904175347222,5.25,-1.1508,6.87092361111111,22.25,-2.788,-7.64285714285714,7,-19
"133",133,12.3472976851852,20.7,4.7554,0.342364557291667,6.38,-1.1825,9.51351736111111,26.6,-4.233,-5.35714285714286,9,-21
"134",134,12.9423346450617,20.7869,3.8134,0.373750590277778,5.633,-1.1511,10.1001710069444,27.12,0.157,-3.5,7,-16
"135",135,13.4410368827161,21.41,6.5122,0.494233168402778,5.689,-1.0885,9.66945659722222,24.26,-0.398,-3,7,-12
"136",136,13.9701824074074,22.178,7.1014,0.598381041666667,4.424,-1.0305,10.678359375,24.75,0.845,-1.92857142857143,5,-11
"137",137,14.4612847993827,22.92,8.8144,0.405308628472222,2.9196,-1.0711,11.2985755208333,26.91,0.627,-2.9375,9,-13
"138",138,13.8677315057915,24.89,8.0574,0.227002013888889,2.8734,-0.83779,9.23989487402259,26.22,-1.188,-4,5,-12
"139",139,13.4967548611111,22.08,6.617,0.188809305555556,3.2154,-0.39726,9.12561458333333,23.95,-0.986,-4,5,-10
"140",140,13.5068590277778,23.31,5.2191,0.148433133680556,2.748,-0.24314,8.87775,20.26,-1.878,-4.14285714285714,6,-11
"141",141,13.6042424382716,20.8396,4.3343,0.334212144097222,5.509,-0.1951,11.5590980902778,21.91,2.44,-1.78571428571429,7,-8
"142",142,14.9042456790123,22.7487,4.2398,0.727616006944445,6.197,-0.1838,13.6676328125,27.36,3.311,-0.214285714285714,8,-8
"143",143,15.2716765432099,22.3802,6.9967,1.04528203993056,5.627,-0.17073,12.3891371527778,30.45,1.857,-0.357142857142857,8,-10
"144",144,14.9269906635802,22.4022,7.959,0.960260920138889,4.158,-0.189,11.6681180555556,24.79,2.756,-2.21428571428571,9,-13
"145",145,15.2277291891892,23.5307,8.8489,0.721084904513889,4.4,-0.189,12.4525230234579,26.89,3.924,-2.85714285714286,11,-12
"146",146,15.5503194594595,23.0312,10.3486,0.755687630208333,4.4,-0.184,12.8893831450912,26.52,4.205,-0.285714285714286,11,-10
"147",147,16.4926902777778,23.9437,11.2,0.842553871527778,3.78,-0.189,14.8732178819444,28.65,5.597,-0.214285714285714,12,-12
"148",148,17.0018528549383,24.2986,9.6789,1.06576263020833,5.48,-0.189,14.7892092013889,29.53,5.306,-0.214285714285714,16,-13
"149",149,17.3101624228395,23.7601,11.4026,1.29946403645833,4.82,-0.185,13.5316467013889,24.3,6.076,-0.928571428571429,12,-11
"150",150,17.5078395833333,23.5842,12.3108,1.21515893229167,4.652,-0.184,13.225203125,22.36,4.105,-1.64285714285714,6,-9
"151",151,18.2490392277992,25.0205,12.1609,1.496368203125,4.54,-0.14,16.0813205907906,26.66,8.03,-0.25,10,-8
"152",152,18.7103375,24.3569,14.374,2.17149884548611,5.321,-0.12,15.6410434027778,26.74,5.583,0.416666666666667,8,-8
"153",153,18.8081090277778,25.0657,13.05,2.90280659722222,7.027,0.14,17.0813767361111,29.06,5.639,2.33333333333333,11,-5
"154",154,19.0535199845679,25.8917,12.3,3.52356111111111,6.951,0.956,17.9751822916667,29.57,9.32,3.3125,10,-3
"155",155,19.7547506172839,25.1188,12.39,4.08347508680556,7.719,1.26,17.9954305555556,30.13,7.72,4.5,12,-5
"156",156,19.88609375,26.4071,13.56,4.78996770833333,9.644,1.71,17.0692083333333,31.15,5.727,3.07142857142857,13,-14
"157",157,20.2365587962963,26.9236,12.5592,5.20130512152778,9.571,1.95,18.0019045138889,29.3,4.549,4.14285714285714,16,-5
"158",158,20.3968091049383,27.7471,14.8477,5.27621788194444,9.132,1.977,17.4529079861111,28.78,9.41,4.25,18,-5
"159",159,19.7756686728395,25.7526,12.53,5.31983975694444,8.934,2.4883,16.1238663194444,25.01,5.266,3.5,12,-8
"160",160,20.1758955246914,28.4882,12.5206,5.35979800347222,9.2105,1.48,18.3084131944444,30.57,2.113,4.21428571428571,16,-11
"161",161,20.9468525868726,29.3155,13.53,5.79967395833333,9.4674,2.23,20.7180851433536,34.58,6.036,4.71428571428571,17,-8
"162",162,20.7907852509652,28.7592,13.98,5.80776753472222,11.125,2.79,18.4357862728063,33.1,8.53,2.91666666666667,15,-8
"163",163,20.4019497685185,28.4315,13.34,5.69870720486111,10.349,1.9208,16.9545763888889,29.78,6.395,3.08333333333333,15,-5
"164",164,20.7514858024691,27.6684,13.2439,5.54378585069444,9.58,1.0141,17.3522638888889,29.94,6.515,3.8125,15,-4
"165",165,20.7347317901235,28.2312,12.7585,5.037388984375,8.84,0.5807,17.919921875,30.71,5.927,2.6875,15,-8
"166",166,20.9783218532819,29.4076,12.6256,4.86625954861111,8.7793,0.30245,18.0134535186794,28.8,5.088,3.5,12,-8
"167",167,21.4392581790123,26.8546,13.43,5.58723428819444,9.449,1.6155,20.1350260416667,30.44,10.57,5.1875,13,-4
"168",168,21.9752965277778,27.7786,14.85,5.79428602430556,9.568,2.295,19.1317621527778,29.62,10.63,4.40909090909091,11,-3
"169",169,22.7184426697531,30.3093,15.03,6.14451180555556,9.903,2.0601,19.1713064236111,33.14,7.522,6.0625,14,-5
"170",170,23.528225462963,31.9998,16.0504,6.77902899305556,11.786,2.8094,20.5710173611111,34.34,6.457,6.5,16,-7
"171",171,23.5603726080247,32.9423,16.1111,7.14941710069444,10.998,2.797,21.4624409722222,32.86,6.625,6.875,16,-3
"172",172,23.3697374228395,30.4151,15.32,7.33810833333333,11.195,2.1013,20.3235329861111,32.94,9.17,7,15,-6
"173",173,23.6864242283951,31.4687,15.9,7.58492135416667,11.974,2.4503,20.2940538194444,35.31,9.55,7.5,17,-4
"174",174,23.4319614197531,31.4914,17.5744,7.75306692708333,11.469,4.1844,18.2913472222222,34.67,6.353,7.1875,14,-2
"175",175,23.3439322530864,33.3484,17.0275,7.97136510416667,12.531,4.98,20.6531484375,35.61,7.458,6.575,17,-1
"176",176,23.7258712962963,33.0816,18.6582,8.27955451388889,11.462,5.24,21.7059288194444,35.03,10.2,7.6875,18,-1
"177",177,24.1694546296296,32.5595,18,8.55256085069444,11.637,5.9802,22.0208420138889,36.67,12.05,7.875,16,0
"178",178,24.5937636574074,32.2913,16.82,8.77945720486111,11.528,5.684,21.6864496527778,34.3,10.38,7.625,19,-2
"179",179,25.1236313271605,31.7464,17.3928,8.70564774305556,12.247,5.12,21.7482725694444,32.6,11.77,7.875,19,-7
"180",180,24.7254125096525,30.626,19.0856,8.73460798611111,12.176,4.91,21.5458036490009,32.71,11.04,8.3125,19,0
"181",181,24.4422841049383,31.0675,20.2381,8.73139548611111,11.851,6.18,20.4972309027778,33.97,9.5,7.375,15,0
