site,elevation,longitude,latitude,tree_height,tree_density,veg_structure
NH_forest,low,-71.71479424,43.94617659,22,62177.38454,1367.90246
NH_forest,high,-71.77745584,43.91985666,21,67174.49275,1410.664348
NH_nonforest,low,-71.696217,43.94127,23,61333.70383,1410.675188
NH_nonforest,high,-71.765606,43.920799,23,69733.33549,1603.866716
ID,low,-116.713205,43.167545,0,606.1959928,0
ID,high,-116.7486,43.0645,0,40625.3372,0
AZ,low,-116.37214,33.65181,0,0,0
AZ,high,-116.4505,33.6094,13,5527.915515,71.86290169
AZ_cata,low,-110.741183,32.44985,0,41056.90174,0
AZ_cata,high,-110.72461,32.41508,25,51876.61008,1296.915252
CO,low,-105.337,40.014,14,25021.83666,350.3057132
CO,high,-105.62068,40.053655,0,22071.50122,0
CO,high,-105.616906,40.059718,18,14885.47228,267.938501
PT,low,-7.575001,40.340966,0,96253.45528,0
PT,high,-7.575001,40.340966,0,96253.45528,0
NC,low,-82.201833,35.6884385,30,60709.83254,1821.294976
NC,high,-82.27784,35.740808,30,70182.35353,2105.470606
NM_canopy,low,-106.596664,35.86423,24,25177.44643,604.2587144
NM_canopy,high,-106.532114,35.888447,25,29362.42141,734.0605353
NM_soil,low,-106.450587,35.8503,13,30526.98617,396.8508202
NM_soil,high,-106.5374,35.882783,24,45744.88996,1097.877359
PH,low,121.54,14.09,22,49357.52462,1085.865542
PH,high,121.5,14.07,36,73895.75773,2660.247278
AU,low,145.24,-15.73,25,52807.8956,1320.19739
AU,high,145.24,-15.73,25,52807.8956,1320.19739
MD,low,47.43,-21.26,30,50172.74403,1505.182321
MD,high,47.43,-21.27,30,60347.73198,1810.431959
OR,low,-122.2607472,44.21705833,34,53192.76653,1808.554062
OR,high,-122.094529,44.327454,31,46694.7395,1447.536924
TN,low,-83.426877,35.056714,35,60610.62485,2121.37187
TN,high,-83.45976,35.03145,34,63941.41144,2174.007989
CR_basham,low,-84.0119,10.43096,35,32224.94346,1127.873021
CR_basham,high,-84.1095,10.17616,39,74882.10113,2920.401944
CO_OldSecondary_1,high,-75.8895,5.495,28,82557.00624,2311.596175
CO_PrimaryForest_1,high,-75.8895,5.495,28,82557.00624,2311.596175
CO_PrimaryForest_2,high,-75.8895,5.495,28,82557.00624,2311.596175
CO_YoungSecondary_1,high,-75.8895,5.495,28,82557.00624,2311.596175
CO_OldSecondary_1,low,-76.083268,5.230998,40,53871.78,2154.8712
CO_PrimaryForest_1,low,-76.083268,5.230998,40,53871.78,2154.8712
CO_PrimaryForest_2,low,-76.083268,5.230998,40,53871.78,2154.8712
CO_YoungSecondary_1,low,-76.083268,5.230998,40,53871.78,2154.8712
CR_northwest,high,-84.382329,10.09832,18,8846.970894,159.2454761
CR_northwest,low,-84.830656,9.977361,0,NA,0
CR_southwest,high,-83.672643,9.540685,19,42987.47113,816.7619515
CR_southwest,low,-83.46682,8.945169,23,16560.83409,380.8991841
CA,low,-118.358,37.3711,0,2253.806961,0
CA,high,-119.7,36.7667,0,2744.156772,0
SE,low,19.232613,68.269381,16,26528.45671,424.4553074
SE,high,19.232613,68.269381,16,26528.45671,424.4553074
CH_decid,low,8.230333,47.401902,22,11002.69921,242.0593827
CH_decid,high,9.00769,46.12506,29,58266.39118,1689.725344
CH_conif,low,7.88686,47.27417,27,64815.87927,1750.02874
CH_conif,high,10.23047,46.66164,27,29060.07546,784.6220374
CH_open,low,7.91082,47.26882,0,44538.33089,0
CH_open,high,10.24102,46.65964,25,22564.098,564.1024501
AK_nabesna,low,-143.0372,63.3337,0,43458.58169,0
AK_nabesna,high,-142.9966,62.3977,12,28966.66358,347.599963
AK_ameriflux,low,-148.8412,69.1423,0,0,0
AK_ameriflux,high,-149.596,68.6282,0,NA,0
TZ_usambara,low,38.645839,-5.076799,18,39151.55628,704.7280131
TZ_usambara,high,38.599626,-5.098068,19,41623.00918,790.8371744
MY_SAFE_primary,low,116.9647,4.747551,38,61452.13238,2335.18103
MY_SAFE_primary,high,116.9668,4.750758,41,35152.84552,1441.266667
MY_SAFE_degraded,low,117.5349,4.698514,29,38863.22034,1127.03339
MY_SAFE_degraded,high,117.5812,4.693722,36,32088.48479,1155.185453
EC_maquipucuna,low,-78.61194444,0.11835,35,54268.30945,1899.390831
EC_maquipucuna,high,-78.57805556,0.12701667,31,33135.48675,1027.200089
CH_cuona,low,91.68,27.77,0,27452.89912,0
CH_cuona,high,91.86,27.99,0,0,0