(Intercept),elevation_change,foliage,latitude,macro,micro,snowdepth,veg_structure,df,logLik,AICc,delta,weight
11.068756980011132,-0.004620362018976986,+,-0.14930959677941008,+,+,-0.013774452252295701,0.0032743248264067502,18,-25211.455974623317,50458.97486315392,0,0.887298303410976
8.492198909361328,-0.004287844620360877,+,-0.08299071424501758,+,+,-0.01378992348660436,NA,17,-25214.8783227338,50463.812931681154,4.838068527235009,0.0789762337139118
5.442306243763539,-0.004439421174007348,+,NA,+,+,-0.01381318711808515,NA,16,-25217.344469753123,50466.73896709499,7.764103941073699,0.0182858815341649
5.469287638449627,-0.004526454768624706,+,NA,+,+,-0.013813322980318503,6.280549525257849e-4,17,-25217.205945120528,50468.46817645461,9.493313300692535,0.00770234310108776
13.486654713728155,-0.007523467430017315,+,NA,NA,+,-0.013837150688588833,NA,8,-25227.485462869587,50470.98415860078,12.009295446863689,0.00218919415055188
2.819568867637028,NA,+,-0.14917754661322868,+,+,-0.013740797519104907,0.0028790835087155763,17,-25218.7337713721,50471.523828957754,12.548965803835017,0.00167146139374924
1.0637480453438972,NA,+,-0.09046279712749344,+,+,-0.013761421524966384,NA,16,-25220.24270494929,50472.53543748733,13.560574333409022,0.00100792530533617
14.160696142371625,-0.007817242851639832,+,-0.016239716750588485,NA,+,-0.013825664759816511,NA,9,-25227.29526641529,50472.60707542777,13.63221227384929,0.000972461390886381
13.687485437337251,-0.0074397417479985855,+,NA,NA,+,-0.013842077619987264,-2.0734029575812963e-4,9,-25227.44075080636,50472.898044209905,13.923181055986788,0.000840793410831742
15.01635514387627,-0.007770446496157533,+,-0.024995903455555538,NA,+,-0.013831322330173994,-5.081580184624377e-4,10,-25227.076121777936,50474.17246414411,15.197600990191859,0.000444582667213434
-2.558393539774249,NA,+,NA,+,+,-0.013781296245654535,NA,15,-25222.0650589488,50474.174255828635,15.199392674716364,0.00044418456961403
-2.617374207669571,NA,+,NA,+,+,-0.013780507185609562,2.8550449311811547e-4,16,-25222.0463771774,50476.14278194355,17.167918789629766,0.000165998228386021
6.927397014219526,NA,+,NA,NA,+,-0.013812944632013022,NA,7,-25237.44305558381,50488.8964024476,29.921539293682144,2.82286395619712e-07
6.036290687671971,NA,+,0.03471866351199155,NA,+,-0.013823872071535154,NA,8,-25237.056603478562,50490.126439818734,31.151576664815366,1.52612717979731e-07
8.044071496537276,NA,+,NA,NA,+,-0.01382450953080639,-8.442318603294418e-4,8,-25237.135561225896,50490.2843553134,31.309492159482033,1.41026202998612e-07
6.944182721769618,NA,+,0.025608578897589235,NA,+,-0.013828173144261982,-5.096332054029041e-4,9,-25236.96873799197,50491.95401858113,32.97915542720875,6.11979734935083e-08
10.604338148455621,-0.004565025682806087,+,-0.1534049008491667,+,+,NA,0.003329562203259609,17,-25251.091865976236,50536.24001816603,77.26515501210815,1.47963439613629e-17
7.983587827253229,-0.004226780154951281,+,-0.08597150692593031,+,+,NA,NA,16,-25254.596671828658,50541.24337124606,82.26850809214375,1.21252332480588e-18
4.823220855090238,-0.004383784970463812,+,NA,+,+,NA,NA,15,-25257.195964548908,50544.43606702885,85.46120387493283,2.45699923503342e-19
4.8504691816520396,-0.004471534841395321,+,NA,+,+,NA,6.330691443757543e-4,16,-25257.058868782206,50546.16776515316,87.19290199923853,1.03364534089023e-19
2.4790176538231754,NA,+,-0.1540772231645414,+,+,NA,0.002978751145345279,16,-25258.170255189096,50548.39053796694,89.415674813019,3.40175136430414e-20
13.424001104137004,-0.007579715474662321,+,NA,NA,+,NA,NA,7,-25267.485397114902,50548.98108550978,90.00622235586343,2.53201805434883e-20
0.6616943564470329,NA,+,-0.09333209595313145,+,+,NA,NA,15,-25259.79432576449,50549.63278946002,90.6579263060994,1.82789432011598e-20
14.227277405470417,-0.007929784633022522,+,-0.01935293507327813,NA,+,NA,NA,8,-25267.22449155938,50550.46221598037,91.48735282645066,1.20737840228503e-20
13.564544383241275,-0.007521128869695497,+,NA,NA,+,NA,-1.4510201599138514e-4,8,-25267.464354424337,50550.94194171028,91.96707855636487,9.49887744052556e-21
-3.076101047731881,NA,+,NA,+,+,NA,NA,14,-25261.731939184483,50551.50249550762,92.52763235370367,7.17710952438216e-21
15.033422119606731,-0.007885750536732784,+,-0.02760358834689418,NA,+,NA,-4.7870630136982045e-4,9,-25267.03648594712,50552.089514491425,93.11465133750607,5.35155534259041e-21
-3.141814011066383,NA,+,NA,+,+,NA,3.182677101348185e-4,15,-25261.70895329627,50553.46204452358,94.48718136965908,2.69425632698865e-21
6.815835304424002,NA,+,NA,NA,+,NA,NA,6,-25277.293105344575,50566.59392843998,107.6190652860605,3.79215910508151e-24
5.985929493118151,NA,+,0.03233267350890372,NA,+,NA,NA,7,-25276.96679307018,50567.94387742034,108.96901426641853,1.93085141136324e-24
7.827694742244234,NA,+,NA,NA,+,NA,-7.650351113741601e-4,7,-25277.04768228341,50568.1056558468,109.13079269287846,1.78081627063054e-24
6.781708405128447,NA,+,0.024346828527057017,NA,+,NA,-4.4670372190004133e-4,8,-25276.901464163097,50569.8161611878,110.8412980338835,7.57159890163573e-25
10.86789524819824,-0.0045189455401461074,NA,-0.15124886379817482,+,+,-0.011414116393658379,0.0033098130073425263,17,-25506.45370602003,51046.96369825362,587.9888350996989,1.85317485522072e-128
8.26334841549644,-0.00418302252725003,NA,-0.08420058479133333,+,+,-0.011429318066375368,NA,16,-25509.87000586536,51051.790039319465,592.8151761655463,1.65916566776149e-129
5.169144519435706,-0.004336928786965683,NA,NA,+,+,-0.01145350577876172,NA,15,-25512.349641744393,51054.74342141982,595.7685582659033,3.78940459970919e-130
5.19583067856609,-0.004423049990524706,NA,NA,+,+,-0.011453788380832174,6.21481631330485e-4,16,-25512.21727706252,51056.48458171378,597.5097185598643,1.58665616692747e-130
2.784895672879595,NA,NA,-0.15063685788012116,+,+,-0.011380491694738438,0.00290065874098067,16,-25513.39832243408,51058.84667245691,599.8718093029893,4.87036305453744e-131
1.0156498981882407,NA,NA,-0.09147335506924359,+,+,-0.011401174344824813,NA,15,-25514.937856946177,51059.91985182339,600.9449886694711,2.84789122759172e-131
12.990914775582434,-0.007272920781413453,NA,NA,NA,+,-0.011477808254099744,-0.001070062744329433,8,-25522.35998743306,51060.73320772773,601.7583445738128,1.89629284892623e-131
11.949689170325948,-0.007705639128423552,NA,NA,NA,+,-0.01144208317194519,NA,7,-25523.475544236833,51060.961379753644,601.9865165997253,1.69183685498948e-131
-2.6469772971068295,NA,NA,NA,+,+,-0.011422099347973147,NA,14,-25516.807249950718,51061.65311704009,602.6782538861735,1.1971529448754e-131
10.980844267815353,-0.007281603405725411,NA,0.023418701919471784,NA,+,-0.011465721713638959,NA,8,-25523.119987302536,51062.25320746668,603.2783443127628,8.86832616975594e-132
12.662761481672065,-0.0071904880887348425,NA,0.006199400833083541,NA,+,-0.01148224943331742,-9.963582954650382e-4,9,-25522.337817578526,51062.69217775424,603.7173146003188,7.12066363206757e-132
-2.7029509023259517,NA,NA,NA,+,+,-0.01142140993108657,2.709175873776798e-4,15,-25516.790426894277,51063.62499171959,604.6501285656705,4.46645015858617e-132
3.4155025606900407,NA,NA,0.0708616251810617,NA,+,-0.011470924340274557,NA,7,-25531.40931878662,51076.82892885322,617.8540656992991,6.06406675884268e-135
7.478859470989163,NA,NA,NA,NA,+,-0.011468020685025653,-0.0016978039270143866,7,-25531.787717499104,51077.58572627819,618.6108631242678,4.15362706806735e-135
5.2297152757144545,NA,NA,NA,NA,+,-0.011438233289402334,NA,6,-25532.990102156502,51077.98792206383,619.0130589099135,3.39697065968668e-135
5.228825971239831,NA,NA,0.0526636742688468,NA,+,-0.011482428053710057,-0.0010170453446322748,8,-25531.041547737936,51078.09632833748,619.1214651835617,3.21774535886495e-135
10.484177113295196,-0.004474667062225594,NA,-0.1545893488459553,+,+,NA,0.0033536243978926398,16,-25532.365526303853,51096.78108019645,637.8062170425328,2.81974190491792e-139
7.844468004629387,-0.004134183676560783,NA,-0.0866579268101935,+,+,NA,NA,15,-25535.846690447008,51101.73751882505,642.762655671133,2.3655513798985e-140
4.6589755830772095,-0.004292551192267504,NA,NA,+,+,NA,NA,14,-25538.435696606764,51104.910010352185,645.9351471982663,4.84210946572697e-141
4.685812891221294,-0.0043790596413646595,NA,NA,+,+,NA,6.241467949541405e-4,15,-25538.304974509294,51106.654086949624,647.6792237957052,2.02447856186228e-141
2.4999180458980925,NA,NA,-0.1546003957089588,+,+,NA,0.0029790597943664256,15,-25539.153941074168,51108.35202007937,649.3771569254532,8.66187052496303e-142
0.6821614053043441,NA,NA,-0.09384063676525471,+,+,NA,NA,14,-25540.785103447113,51109.60882403288,650.633960878964,4.62061918319171e-142
11.926727466430481,-0.007748921487339021,NA,NA,NA,+,NA,NA,6,-25549.520591617824,51111.048900986476,652.0740378325572,2.24901027497473e-142
12.903162591897418,-0.007343233089280081,NA,NA,NA,+,NA,-0.001003540657532452,7,-25548.56186932684,51111.13402993366,652.1591667797402,2.15529104056065e-142
-3.076055642554383,NA,NA,NA,+,+,NA,NA,13,-25542.74999465612,51111.533454422104,652.5585912681854,1.76511090452939e-142
11.09577316151074,-0.007385326946899842,NA,0.020084701215684102,NA,+,NA,NA,7,-25549.264223384132,51112.53873804824,653.5638748943238,1.06776930512652e-142
12.720648425007692,-0.007297449173251844,NA,0.0034463274163193855,NA,+,NA,-9.62483178707412e-4,8,-25548.55522136789,51113.12367559739,654.1488124434691,7.97002818506783e-143
-3.137029691828077,NA,NA,NA,+,+,NA,2.9526923652844155e-4,14,-25542.73017547439,51113.498968087435,654.5241049335164,6.60641921155473e-143
3.4227699298914134,NA,NA,0.06819624014514493,NA,+,NA,NA,6,-25557.572402688817,51127.15252312846,668.1776599745426,7.16364939122761e-146
7.313615067944012,NA,NA,NA,NA,+,NA,-0.001619087218853906,6,-25557.93642532641,51127.88056840365,668.9057052497301,4.9778441964994e-146
5.168899612503045,NA,NA,NA,NA,+,NA,NA,5,-25559.008112595457,51128.021737363626,669.0468742097073,4.63859920439435e-146
5.134495688487532,NA,NA,0.05101562897682167,NA,+,NA,-9.600676175065765e-4,7,-25557.254498533068,51128.51928834611,669.5444251921945,3.61697099481569e-146
5.886212500575551,-0.0036698478525324482,+,-0.15975119190176054,+,NA,-0.013739333842681724,0.003987513411893812,16,-27723.19200033686,55478.43402826247,5019.45916510855,0
2.7475720566178206,-0.003264932513055382,+,-0.07905289611545838,+,NA,-0.013755912052644972,NA,15,-27725.69709678461,55481.438331500256,5022.463468346337,0
-0.15737590850746924,-0.0034091092833352303,+,NA,+,NA,-0.013775019770732613,NA,14,-27726.908764482854,55481.856146104365,5022.881282950446,0
-0.7360838545117233,NA,+,-0.15736209888233377,+,NA,-0.013708537609209199,0.0035624802722289024,15,-27725.93636592675,55481.91686978454,5022.942006630619,0
-2.91093702256135,NA,+,-0.08469253946227466,+,NA,-0.013731263500050012,NA,14,-27727.58393483061,55483.20648679988,5024.231623645959,0
-0.10877020490145661,-0.0035639055165863163,+,NA,+,NA,-0.0137753369138162,0.0011177574311379739,15,-27726.654160168207,55483.35245826745,5024.377595113532,0
-6.301528646052106,NA,+,NA,+,NA,-0.013750053394837132,NA,13,-27728.753846701835,55483.54115851354,5024.566295359618,0
-6.459596514791029,NA,+,NA,+,NA,-0.01374860918711136,7.667534116490456e-4,14,-27728.651770485278,55485.34215810921,5026.367294955293,0
9.119119319093365,-0.006188094804352051,+,NA,NA,NA,-0.013815102532926466,NA,6,-27737.090748061193,55486.189213873215,5027.214350719296,0
10.984369247803441,-0.007000720776499146,+,-0.04488685606732339,NA,NA,-0.01378978549962874,NA,7,-27736.231942412578,55486.474176105134,5027.499312951215,0
8.739555396796014,-0.00634685382355258,+,NA,NA,NA,-0.013807824803039739,3.92546581964629e-4,7,-27736.998562704975,55488.00741668993,5029.03255353601,0
11.298578302690414,-0.006983528880811562,+,-0.04810611006459011,NA,NA,-0.013791502119339452,-1.866393613980368e-4,8,-27736.214047276288,55488.441327414184,5029.466464260266,0
3.725579805104863,NA,+,NA,NA,NA,-0.013796371167484568,NA,5,-27742.107601286436,55494.220714745585,5035.245851591666,0
4.023917145449201,NA,+,NA,NA,NA,-0.013799750379570843,-2.2581150289702935e-4,6,-27742.08776620337,55496.18325015757,5037.208387003651,0
3.7041022825939534,NA,+,8.352858083031196e-4,NA,NA,-0.013796686588895591,NA,6,-27742.107400108303,55496.222517967435,5037.247654813516,0
4.205459150231181,NA,+,-0.004196721414915865,NA,NA,-0.013798992922327476,-2.8154292380379797e-4,7,-27742.083871453302,55498.17803418658,5039.203171032663,0
5.437489347500341,-0.0036166723641260614,+,-0.1642030831574864,+,NA,NA,0.004060671977559635,15,-27748.09947259885,55526.243083128735,5067.268219974816,0
2.24059601455409,-0.0032041714289393268,+,-0.08203041382848036,+,NA,NA,NA,14,-27750.66270246883,55529.36402207632,5070.3891589224,0
-1.078475831752656,NA,+,-0.16215899224499872,+,NA,NA,0.0036572932990115497,14,-27750.732343776443,55529.50330469154,5070.528441537623,0
-0.7745568355633158,-0.0033537532952147126,+,NA,+,NA,NA,NA,13,-27751.943739978316,55529.9209450665,5070.946081912582,0
-3.3119034073872395,NA,+,-0.08755998183957463,+,NA,NA,NA,13,-27752.4607054211,55530.95487595207,5071.980012798151,0
-0.725480387652967,-0.0035099171353635272,+,NA,+,NA,NA,0.001127373876310733,14,-27751.690550100644,55531.419717339944,5072.444854186026,0
-6.8180202735387665,NA,+,NA,+,NA,NA,NA,12,-27753.698997538864,55531.426676820694,5072.451813666776,0
-6.980981611245202,NA,+,NA,+,NA,NA,7.907619706226231e-4,13,-27753.591974006613,55533.21741312309,5074.242549969174,0
9.056447375859788,-0.00624422551632055,+,NA,NA,NA,NA,NA,5,-27762.275634488236,55534.556781149186,5075.581917995267,0
11.050644413705701,-0.007112985143020404,+,-0.047990753320757945,NA,NA,NA,NA,6,-27761.32425784429,55534.65623343941,5075.681370285492,0
8.615531678553202,-0.006428620911018854,+,NA,NA,NA,NA,4.55982519801327e-4,6,-27762.15549452758,55536.318706805985,5077.343843652066,0
11.314178715095231,-0.007098580254874036,+,-0.050691094815979595,NA,NA,NA,-1.5652600414941932e-4,7,-27761.312016187407,55536.63432365479,5077.659460500872,0
3.6141135104585813,NA,+,NA,NA,NA,NA,NA,4,-27767.221570932958,55542.446816310156,5083.471953156237,0
3.8241427416590685,NA,+,NA,NA,NA,NA,-1.5897657853335581e-4,5,-27767.212030597653,55544.42957336802,5085.4547102141005,0
3.6537433163939603,NA,+,-0.0015412133175472815,NA,NA,NA,NA,5,-27767.220905612787,55544.447323398286,5085.4724602443675,0
4.072987799941301,NA,+,-0.005749495698661356,NA,NA,NA,-2.3542956396178404e-4,6,-27767.204941612286,55546.4176009754,5087.442737821482,0
5.687956101875514,-0.00356896921845052,NA,-0.1617566861290309,+,NA,-0.011376406427994864,0.004026428398655655,15,-27911.48608800779,55853.01631394662,5394.041450792698,0
2.5186701045615494,-0.003160207424246176,NA,-0.08026589695478005,+,NA,-0.011392970950284895,NA,14,-27913.980773896958,55856.00016493257,5397.025301778653,0
-0.756955618348248,NA,NA,-0.15927990209356357,+,NA,-0.011347119146241563,0.003605975878657078,14,-27914.047326165397,55856.13326946945,5397.1584063155315,0
-0.4307676447707682,-0.0033066402472838184,NA,NA,+,NA,-0.011412513765509924,NA,13,-27915.201015016435,55856.43549514274,5397.460631988819,0
-2.9586025401849905,NA,NA,-0.08571747532816178,+,NA,-0.011369717609052888,NA,13,-27915.720829084363,55857.47512327859,5398.500260124674,0
-6.39021736403438,NA,NA,NA,+,NA,-0.011388980062831117,NA,12,-27916.907523952883,55857.84372964873,5398.868866494813,0
-0.3821952173568527,-0.003461348361907321,NA,NA,+,NA,-0.011412913858838008,0.0011171635018766516,14,-27914.95274525363,55857.94410764592,5398.969244492,0
-6.54922408502368,NA,NA,NA,+,NA,-0.01138764919505803,7.713298049666032e-4,13,-27916.8053567288,55859.64417856747,5400.66931541355,0
7.584983137791174,-0.006370617745950479,NA,NA,NA,NA,-0.011427412847064505,NA,5,-27925.391899829945,55860.7893118326,5401.814448678684,0
8.03826277381855,-0.006181608666871613,NA,NA,NA,NA,-0.011441038443769288,-4.6679906075067137e-4,6,-27925.264256815834,55862.536231382495,5403.561368228577,0
7.798678277233553,-0.006464095510800854,NA,-0.005159191552183569,NA,NA,-0.011422732230424384,NA,6,-27925.381225653222,55862.77016905727,5403.795305903353,0
8.923488939247678,-0.006403089069503554,NA,-0.01668834819118846,NA,NA,-0.011431712016662066,-6.665739789171355e-4,7,-27925.17362027108,55864.35753182214,5405.382668668222,0
2.0292435340265156,NA,NA,NA,NA,NA,-0.011416693903975414,NA,4,-27930.543981076873,55869.09163659799,5410.116773444068,0
3.4456365543091265,NA,NA,NA,NA,NA,-0.011439440063911354,-0.0010696698684970367,5,-27930.10635406595,55870.21822030461,5411.243357150692,0
1.0813903466140704,NA,NA,0.03699696213365925,NA,NA,-0.011438488867135074,NA,5,-27930.156003101914,55870.31751837654,5411.342655222623,0
2.437899550022463,NA,NA,0.023377951256265694,NA,NA,-0.011447095198830413,-7.609411905229026e-4,6,-27929.98303015486,55871.97377806055,5412.998914906631,0
5.317914913424031,-0.0035265574668215532,NA,-0.16540035906041756,+,NA,NA,0.004085561456476285,14,-27928.058742507124,55884.156102152905,5425.181238998986,0
-1.0422228823210968,NA,NA,-0.16319191837853697,+,NA,NA,0.0036820793857549805,13,-27930.534801484922,55887.10306807971,5428.128204925793,0
2.101426049005142,-0.0031116472800706376,NA,-0.08271864707720797,+,NA,NA,NA,13,-27930.6004439686,55887.23435304707,5428.259489893149,0
-0.9389554918346418,-0.003262522076426437,NA,NA,+,NA,NA,NA,12,-27931.877716472063,55887.78411468709,5428.809251533174,0
-3.2910108503088704,NA,NA,-0.08808174194953,+,NA,NA,NA,12,-27932.273082962427,55888.57484766782,5429.599984513901,0
-6.818020273552515,NA,NA,NA,+,NA,NA,NA,11,-27933.51605327891,55889.05637349412,5430.081510340198,0
-0.8900331411855282,-0.0034182511071694397,NA,NA,+,NA,NA,0.0011243196011344765,13,-27931.630767410767,55889.2949999314,5430.320136777482,0
-6.980785255573117,NA,NA,NA,+,NA,NA,7.898091643109656e-4,12,-27933.410181725732,55890.84904519443,5431.874182040512,0
7.561855200147228,-0.006413824021488375,NA,NA,NA,NA,NA,NA,4,-27942.1178918809,55892.23945820604,5433.264595052118,0
7.948992348988262,-0.006252426028464172,NA,NA,NA,NA,NA,-3.987097418843209e-4,5,-27942.026964202672,55894.05944057806,5435.084577424139,0
7.913142110137973,-0.006567454866197318,NA,-0.00848060998309334,NA,NA,NA,NA,5,-27942.089656456606,55894.184825085926,5435.209961932007,0
8.97884023978865,-0.0065097332392698324,NA,-0.01940541626486268,NA,NA,NA,-6.314955254939739e-4,6,-27941.90735429368,55895.822426338185,5436.847563184267,0
1.9685022406726176,NA,NA,NA,NA,NA,NA,NA,3,-27947.235555479634,55900.47331542331,5441.498452269392,0
3.29221331422287,NA,NA,NA,NA,NA,NA,-9.997607797614572e-4,4,-27946.86157630259,55901.72682704942,5442.751963895498,0
1.0885406591624824,NA,NA,0.034342823304900405,NA,NA,NA,NA,4,-27946.908343732746,55901.82036190973,5442.845498755814,0
2.3635093511593817,NA,NA,0.021540724694458026,NA,NA,NA,-7.151992801366267e-4,5,-27946.75947894311,55903.52447005893,5444.549606905013,0
