(Intercept),elevation_change,height,latitude,n_days,snowdepth,veg_foliage,df,logLik,AICc,delta,weight
-0.19209682818162938,-2.6834644396100193,0.7207976446846376,NA,NA,-0.6849826287815812,-0.6222475203318484,7,87.65463896894644,-161.0852779378929,0,0.40450386309116
-0.47949470226548097,-2.501246131090224,0.7167513724614729,NA,0.3486648015236629,-0.7150462126903809,-0.5851973489607896,8,88.24014893447338,-160.19172071463814,0.89355722325476,0.258755260578929
-0.2836273724982389,-2.63916444860246,0.7224322780398751,0.14729249714322465,NA,-0.6971786140933743,-0.582264023922468,8,87.736641092202,-159.1847050300954,1.9005729077975104,0.156393432077707
-0.4654545027539425,-2.505319474561669,0.7159496715883307,-0.05157604499948082,0.37063192223692243,-0.7124933548725508,-0.5971345007105611,9,88.24831222946153,-158.13517867579054,2.9500992621023556,0.0925372860461183
-0.7269171810478041,-2.5469201223317057,0.6994802846426758,0.5545763364126404,NA,-0.6769016582887755,NA,7,84.56219375376884,-154.9003875075377,6.18489043035521,0.018360765377709
-0.44401982792314126,-2.722281309670046,0.6901358875243411,NA,NA,-0.6248844306661765,NA,6,83.34145034340986,-154.51523601616105,6.570041921731843,0.0151445438605963
-0.828916234418674,-2.4633912145139205,0.68453696527827,NA,0.4936186335304877,-0.6623391044912046,NA,7,84.3365639084636,-154.44912781692722,6.636150120965681,0.0146521374560488
-0.23508565994314154,-2.799028613698388,0.7205057838097544,NA,NA,NA,-0.5591710803460559,6,83.25154080064979,-154.33541693064092,6.74986100725198,0.0138423230026092
-0.8820039392582606,-2.431750379078041,0.6925674447136977,0.4018538859589072,0.2976032071655598,-0.687557395865394,NA,8,84.85192076175433,-153.41526436920003,7.670013568692866,0.008737765578896
-0.43024702536774817,-2.680857876580828,0.71880097940407,NA,0.23493835676085528,NA,-0.5319057249072437,7,83.51994507062902,-152.81589014125805,8.269387796634845,0.00647512160706209
-0.24410706386665537,-2.7955257031102008,0.7211087590923979,0.014437241355359214,NA,NA,-0.5551549330509449,7,83.25239105799257,-152.28078211598515,8.80449582190775,0.00495508031131208
-0.39037241709443227,-2.6901990065191512,0.7160085564035454,-0.1500975457842154,0.3007198534795751,NA,-0.5671956793752498,8,83.58758633170109,-150.88659550909355,10.198682428799344,0.00246778274238487
-0.4606650619574351,-2.820529456954072,0.6904261759496464,NA,NA,NA,NA,5,79.70509075249666,-149.29065959264273,11.794618345250171,0.00111110177610277
-0.6695266047440667,-2.7007363261172546,0.6995095528552346,0.4074768139381349,NA,NA,NA,6,80.39247676736524,-148.61728886407178,12.467989073821116,0.000793474996292639
-0.7553783881334947,-2.629348031631796,0.687733036796874,NA,0.37690713907612705,NA,NA,6,80.30960672027607,-148.45154876989346,12.633729167999434,0.000730370530737983
-0.7905945594062118,-2.6173049613110364,0.6951195333129419,0.2857164027640537,0.23460483855974196,NA,NA,7,80.57195854457186,-146.91991708914372,14.165360848749174,0.000339589026652088
-0.14164266061254688,-2.5995331341131376,NA,NA,NA,-0.6884145095330312,-0.5173311689725498,6,77.68579496597565,-143.20392526129262,17.881352676600272,5.29707686991026e-05
-0.4311996880104523,-2.4126132472145914,NA,NA,0.3471785338200112,-0.7220714994850079,-0.47621548979471023,7,78.30791668522266,-142.39183337044534,18.693444567447557,3.52933401558064e-05
-1.4916458289507397,NA,0.7354770864607939,NA,0.8714299387579979,-0.8038686304084586,-0.5438225627530295,7,77.75603200333279,-141.2880640066656,19.797213931227304,2.03241452434874e-05
-0.20364384422580584,-2.5706310387205793,NA,0.09981088918210837,NA,-0.6974509324647766,-0.48940066735504617,7,77.72512084121867,-141.22624168243735,19.85903625545555,1.9705512875557e-05
-0.400627164337313,-2.422174159838959,NA,-0.10968845319314725,0.39334843664853525,-0.7159102504397783,-0.5028030049977636,8,78.34714709061033,-140.40571702691204,20.679560910980854,1.30741383895622e-05
-0.9051757973544994,NA,0.7416674168407784,NA,NA,-0.7625697359382599,-0.6062299370983837,6,75.76850367387105,-139.3693426770834,21.715935260809488,7.78694750585027e-06
-1.5156318270209628,NA,0.7367438517446414,0.12134308205979802,0.8145991703641708,-0.8067854558811588,-0.5236533303493118,8,77.78126732089186,-139.2739574874751,21.81132045041781,7.42428467895658e-06
-0.7243078944704734,-2.3777165855953086,NA,NA,0.4698968738831939,-0.6734858618108377,NA,6,75.54220879813977,-138.91675292562087,22.168525012272028,6.20995754635479e-06
-0.3565567513158671,-2.626846126644983,NA,NA,NA,-0.6304200398373985,NA,5,74.50241831496695,-138.8853147175833,22.1999632203096,6.1131057834513e-06
-1.209326439864694,NA,0.7458670165279812,0.5997362309035726,NA,-0.7868255022800297,-0.4950608044530077,7,76.49930383759082,-138.77460767518164,22.310670262711255,5.78391873253769e-06
-0.5833201682449218,-2.4759918287584313,NA,0.4445925425525676,NA,-0.6801894169392078,NA,6,75.39650673012106,-138.62534878958343,22.45992914830947,5.36798170534036e-06
-1.7984139554939802,NA,0.7145438451507021,NA,0.9941716611454484,-0.7562523527883003,NA,6,75.25854654804726,-138.34942842543586,22.735849512457037,4.67622803483328e-06
-0.7601429223260826,-2.3589302522600124,NA,0.2758509142726503,0.3367614139646531,-0.694642591299746,NA,7,75.8192200097289,-137.4144400194578,23.670837918435097,2.92998588761786e-06
-1.5580597411690278,NA,0.7316707552321076,0.9299126111768817,NA,-0.7609804308105592,NA,6,74.7323287666012,-137.29699286254373,23.788285075349165,2.76288114411643e-06
-1.8526670875406674,NA,0.7219741602071553,0.5149412842239638,0.7354175704547503,-0.7763276305111309,NA,7,75.74167326821348,-137.25934653642696,23.825931401465937,2.71136138540044e-06
-0.1851224947916416,-2.7163530588467464,NA,NA,NA,NA,-0.45310599366394555,5,73.37089083518975,-136.62225975802892,24.46301817986398,1.97172240061129e-06
-1.1592222576786793,NA,0.7227889232086295,NA,NA,-0.7108789404065297,NA,5,72.86620505558088,-135.61288819881116,25.472389739081734,1.19031942584224e-06
-0.3788437790630292,-2.600084447558344,NA,NA,0.23237018588630465,NA,-0.42467661747294694,6,73.64799818411221,-135.12833169756573,25.95694624032717,9.34207638492113e-07
-0.16467394235006563,-2.7190433517942987,NA,-0.03511244421697819,NA,NA,-0.4617439124636676,6,73.37495495328103,-134.58224523590337,26.503032701989525,7.10987958539407e-07
-0.37199602896454637,-2.7309639702159854,NA,NA,NA,NA,NA,4,70.89287732315611,-133.70623178348916,27.37904615440374,4.58815774846248e-07
-0.3219003402553576,-2.6147105400041912,NA,-0.21159411672750594,0.32409443511963004,NA,-0.4762003401271295,7,73.78967101063745,-133.3553420212749,27.72993591661799,3.84984812860981e-07
-0.6471183328817169,-2.5528246593618116,NA,NA,0.35036969691565634,NA,NA,5,71.48578584938448,-132.85204978641838,28.23322815147452,2.99333330140356e-07
-0.5244694081151418,-2.634025580361265,NA,0.2958355055859903,NA,NA,NA,5,71.30415026182638,-132.48877861130217,28.59649932659073,2.49615611698683e-07
-1.514442291739508,NA,0.7382445099281945,NA,0.7767100872904198,NA,-0.47720959994673995,6,72.04921485545154,-131.9307650402444,29.154512897648488,1.8884288931226e-07
-0.9877998101401655,NA,0.7422860779111106,NA,NA,NA,-0.5349908148758542,5,70.55415800443538,-130.98879409652017,30.09648384137273,1.17910978943519e-07
-0.6655199505373881,-2.5470410456258237,NA,0.15719203410062293,0.2718145675538653,NA,NA,6,71.57498183375371,-130.98229899684873,30.10297894104417,1.17528678269464e-07
-1.7852387707151662,NA,0.7198292007645692,NA,0.891534834245055,NA,NA,5,70.18308309341316,-130.24664427447573,30.83863366341717,8.13576618493452e-08
-1.5211850669797338,NA,0.7386215683274355,0.035124390095784164,0.7599998241028805,NA,-0.4715569676232102,7,72.05118042590792,-129.87836085181584,31.206917086077056,6.76747608481724e-08
-1.2351115310034322,NA,0.7460967170001296,0.48490359024804797,NA,NA,-0.4454857089155628,6,71.01318433829294,-129.85870400592722,31.226573931965675,6.70128826135108e-08
-1.5493179891795805,NA,0.7337903340889121,0.786442683405931,NA,NA,NA,5,69.6167773237255,-129.1140327351004,31.97124520279249,4.61801126507886e-08
-1.825750334322636,NA,0.7258281957409474,0.3941227819468921,0.6900776213200679,NA,NA,6,70.4488542755065,-128.73004388035434,32.35523405753855,3.81129765472246e-08
-1.2086197089734223,NA,0.7249015973331923,NA,NA,NA,NA,4,68.31457419311744,-128.5496255234118,32.53565241448109,3.48253523540969e-08
-1.3988095293568623,NA,NA,NA,0.85372106889328,-0.8134714910400137,-0.45666547408357533,6,67.80707020547798,-123.44647574029729,37.63880219759561,2.7149424223042e-09
-1.6620239698519155,NA,NA,NA,0.9611614702648358,-0.7725025080793326,NA,5,65.9868252396274,-121.8541285669042,39.2311493709887,1.22457905847609e-09
-1.4060453718754755,NA,NA,0.03569620049806173,0.837141190342493,-0.8144768383360133,-0.45032386751952425,7,67.80952011337789,-121.39504022675577,39.69023771113713,9.73412820461918e-10
-0.8190387159780137,NA,NA,NA,NA,-0.7673319726711427,-0.5281425387303773,5,65.74842154787345,-121.3773211833963,39.70795675449659,9.64826938040988e-10
-1.08742403107163,NA,NA,0.5240814070296034,NA,-0.7910498744480512,-0.4230023302445995,6,66.34130988871658,-120.51495510677448,40.57032283111842,6.26886628269941e-10
-1.7001803071716,NA,NA,0.3750949263712883,0.7722390596804232,-0.7893561081235538,NA,6,66.27311005775186,-120.37855544484505,40.70672249304785,5.85558373819802e-10
-1.3881946100784508,NA,NA,0.8085805776469133,NA,-0.7699225086414047,NA,5,65.03938030645061,-119.95923870055063,41.12603923734227,4.74806572359974e-10
-1.0430332421237627,NA,NA,NA,NA,-0.719498804518689,NA,4,63.47844288810898,-118.8773629133949,42.20791502449799,2.76433313609395e-10
-1.419861879935666,NA,NA,NA,0.7574017477718296,NA,-0.39254885491877556,5,62.173442390807224,-114.22736286926386,46.85791506862904,2.70306008588092e-11
-1.6472685129408484,NA,NA,NA,0.85545241748273,NA,NA,4,60.88065474441075,-113.68178662599843,47.40349131189447,2.05771547510215e-11
-0.9016240464131418,NA,NA,NA,NA,NA,-0.4561940742251527,4,60.651430767293824,-113.2233386717646,47.8619392661283,1.63619332027764e-11
-1.4089436646110345,NA,NA,-0.05559042257678533,0.7836939926957055,NA,-0.40205214867791456,6,62.17839745556094,-112.1891302404632,48.8961476974297,9.7557150764539e-12
-1.3781043947135072,NA,NA,0.6621010591490837,NA,NA,NA,4,59.98809605811244,-111.89666925340183,49.18860868449107,8.42853338706361e-12
-1.092395246697969,NA,NA,NA,NA,NA,NA,3,58.97172377532823,-111.89582850303741,49.18944943485549,8.4249909854263e-12
-1.675483758023708,NA,NA,0.24884883903478278,0.7326606624017572,NA,NA,5,60.99969634274894,-111.87987077314729,49.20540716474561,8.35803658545315e-12
-1.1108723109306606,NA,NA,0.4060776127748933,NA,NA,-0.37671832046927256,5,60.99084789759513,-111.86217388283967,49.22310405505323,8.28440719036569e-12
